date,day,water
8/1/22,Monday,8
8/2/22,Tuesday,7
8/3/22,Wednesday,4
8/4/22,Thursday,3
8/5/22,Friday,5
8/6/22,Saturday,7
8/7/22,Sunday,7
8/8/22,Monday,8
8/9/22,Tuesday,8
8/10/22,Wednesday,3
8/11/22,Thursday,6
8/12/22,Friday,8
8/13/22,Saturday,5
8/14/22,Sunday,8
8/15/22,Monday,5
8/16/22,Tuesday,3
8/17/22,Wednesday,7
8/18/22,Thursday,7
8/19/22,Friday,4
8/20/22,Saturday,8
8/21/22,Sunday,6
8/22/22,Monday,5
8/23/22,Tuesday,5
8/24/22,Wednesday,4
8/25/22,Thursday,4
8/26/22,Friday,8
8/27/22,Saturday,8
8/28/22,Sunday,5
8/29/22,Monday,6
8/30/22,Tuesday,8
8/31/22,Wednesday,8